Town,County,Pop,Land,Water,Latitude,Longitude,GEO ID,ANSI code
Wilson,Niagara,5993,49.405,2.057,43.272672,-78.812943,3606382370,979646
Wilton,Saratoga,16173,35.834,0.118,43.152604,-73.726967,3609182403,979647
Windham,Greene,1703,45.2,0.137,42.318072,-74.218391,3603982480,979648
Windsor,Broome,6274,91.743,1.264,42.063826,-75.672418,3600782535,979649
Winfield,Herkimer,2086,23.639,0.012,42.897097,-75.165933,3604382568,979650
Wirt,Allegany,1111,35.938,0.066,42.124500,-78.134087,3600382623,979651
Wolcott,Wayne,4453,39.05,0.901,43.273626,-76.765497,3611782689,979652
Woodbury,Orange,11353,36.124,1.076,41.327783,-74.101891,3607182755,979653
Woodhull,Steuben,1719,55.39,0.033,42.050282,-77.394395,3610182843,979654
Woodstock,Ulster,5884,67.289,0.544,42.057837,-74.166644,3611183052,979655
Worcester,Otsego,2220,46.71,0.163,42.582621,-74.724039,3607783129,979656
Worth,Jefferson,231,43.218,0.086,43.743590,-75.844697,3604583162,979657
Wright,Schoharie,1539,28.636,0.082,42.673493,-74.207635,3609583195,979658
Yates,Orleans,2559,37.387,0,43.339463,-78.388285,3607383448,979659
York,Livingston,3397,49.1,0.007,42.866835,-77.888813,3605184022,979661
Yorkshire,Cattaraugus,3913,36.249,0.145,42.479169,-78.520073,3600984055,979662
Yorktown,Westchester,36081,36.645,2.612,41.269857,-73.817867,3611984077,979663
