Town,County,Pop,Land,Water,Latitude,Longitude,GEO ID,ANSI code
Dryden,Tompkins,14435,93.64,0.69,42.478745,-76.362347,3610920962,978908
Duane,Franklin,174,74.952,3.032,44.600715,-74.232730,3603320973,978909
Duanesburg,Schenectady,6122,70.782,1.25,42.777998,-74.172702,3609321006,978910
Dunkirk,Chautauqua,1318,6.228,0.054,42.469490,-79.320099,3601321116,978912
Durham,Greene,2725,49.314,0.041,42.373601,-74.153148,3603921204,978913
Eagle,Wyoming,1192,36.283,0.187,42.564549,-78.254056,3612121369,978914
East Bloomfield,Ontario,3634,33.195,0.139,42.899446,-77.422374,3606921699,978915
East Fishkill,Dutchess,29029,56.503,0.883,41.561643,-73.787605,3602721996,978917
East Greenbush,Rensselaer,16473,24.02,0.274,42.605098,-73.700320,3608322117,978918
East Hampton,Suffolk,21457,74.328,312.224,41.092293,-72.105673,3610322194,978919
East Otto,Cattaraugus,1062,40.07,0.326,42.408377,-78.743584,3600922678,978921
East Rochester,Monroe,6587,1.325,0.004,43.112210,-77.487176,3605522870,978922
Eastchester,Westchester,32363,4.853,0.088,40.953067,-73.813316,3611921820,978916
Easton,Washington,2336,62.304,0.934,43.029661,-73.535868,3611522656,978920
Eaton,Madison,5255,44.622,0.949,42.890200,-75.630077,3605323305,978923
Eden,Erie,7688,39.79,0.069,42.655012,-78.880010,3602923415,978924
Edinburg,Saratoga,1214,60.169,6.925,43.223115,-74.069902,3609123591,978925
Edmeston,Otsego,1826,44.297,0.084,42.722913,-75.260270,3607723613,978926
Edwards,St. Lawrence,1156,50.471,0.831,44.286726,-75.280789,3608923646,978927
Elba,Genesee,2370,35.649,0.043,43.093340,-78.171240,3603723756,978928
Elbridge,Onondaga,5922,37.539,0.756,43.052639,-76.437331,3606723800,978929
Elizabethtown,Essex,1163,81.633,1.477,44.191221,-73.650223,3603123833,978930
Ellenburg,Clinton,1743,106.567,0.89,44.811802,-73.864913,3601923921,978931
Ellery,Chautauqua,4528,47.454,0.117,42.189926,-79.353553,3601323976,978932
Ellicott,Chautauqua,8714,30.449,0.024,42.133033,-79.231506,3601323998,978933
Ellicottville,Cattaraugus,1598,45.095,0.093,42.307754,-78.643656,3600924031,978934
Ellington,Chautauqua,1643,36.545,0.014,42.220261,-79.120588,3601324053,978935
Ellisburg,Jefferson,3474,85.146,1.419,43.747325,-76.113151,3604524086,978936
Elma,Erie,11317,34.517,0.011,42.828313,-78.647604,3602924130,978937
Elmira,Chemung,6934,22.212,0.329,42.090471,-76.775621,3601524240,978939
Enfield,Tompkins,3512,36.732,0.104,42.441736,-76.620542,3610924548,978940
Ephratah,Fulton,1682,39.17,0.277,43.037432,-74.561468,3603524603,978941
Erin,Chemung,1962,44.247,0.221,42.184078,-76.671706,3601524636,978942
Erwin,Steuben,8037,38.656,0.501,42.134822,-77.152700,3610124647,978943
Esopus,Ulster,9041,37.312,4.628,41.833329,-73.985378,3611124691,978944
Esperance,Schoharie,2076,19.666,0.371,42.751864,-74.316177,3609524724,978945
Essex,Essex,671,31.631,5.969,44.280005,-73.397080,3603124768,978946
Evans,Erie,16356,41.53,0.032,42.654716,-79.004985,3602924801,978947
Exeter,Otsego,987,32.078,0.615,42.798940,-75.077522,3607724845,978948
Fabius,Onondaga,1964,46.497,0.275,42.819749,-75.985163,3606724878,978949
Fairfield,Herkimer,1627,41.296,0.162,43.131120,-74.937983,3604324933,978950
Fallsburg,Sullivan,12870,77.622,1.488,41.736992,-74.603756,3610525241,978951
Farmersville,Cattaraugus,1090,47.833,0.138,42.384220,-78.405914,3600925340,978952
Farmington,Ontario,11825,39.43,0,42.989455,-77.308679,3606925406,978953
Fayette,Seneca,3929,54.819,11.583,42.842874,-76.858550,3609925505,978954
Fenner,Madison,1726,31.074,0.048,42.974926,-75.773344,3605325593,978955
Fenton,Broome,6674,32.773,0.592,42.201492,-75.803310,3600725604,978956
Fine,St. Lawrence,1512,166.799,2.618,44.154272,-75.085765,3608925791,978957
Fishkill,Dutchess,22107,27.336,4.655,41.515512,-73.923762,3602725978,978958
Fleming,Cayuga,2636,21.819,2.48,42.874450,-76.577616,3601126231,978959
Florence,Oneida,1025,54.922,0.094,43.418917,-75.739740,3606526297,978960
Florida,Montgomery,2696,50.132,1.274,42.894991,-74.201025,3605726308,978961
Floyd,Oneida,3819,34.616,0.175,43.239952,-75.324083,3606526385,978962
Forestburgh,Sullivan,819,54.781,1.532,41.561802,-74.709618,3610526528,978963
Forestport,Oneida,1535,76.915,1.985,43.496073,-75.147819,3606526627,978964
Fort Ann,Washington,6190,108.999,1.78,43.460929,-73.529859,3611526715,978965
Fort Covington,Franklin,1676,36.734,0,44.950102,-74.489629,3603326737,978966
Fort Edward,Washington,6371,26.63,0.796,43.230604,-73.559186,3611526781,978967
Fowler,St. Lawrence,2202,59.325,1.368,44.275595,-75.403237,3608927100,978968
Frankfort,Herkimer,7636,36.421,0.106,43.040732,-75.136940,3604327199,978969
Franklin,Delaware,2411,81.249,0.278,42.330395,-75.110553,3602527232,978970
Franklin,Franklin,1140,169.827,5.395,44.520107,-74.069770,3603327243,978971
Franklinville,Cattaraugus,2990,51.812,0.173,42.304423,-78.497988,3600927342,978972
Freedom,Cattaraugus,2405,40.987,0.329,42.471187,-78.377562,3600927441,978973
Freetown,Cortland,757,25.486,0.142,42.520267,-76.023217,3602327496,978974
Fremont,Steuben,1008,32.036,0.154,42.394696,-77.610140,3610127551,978975
Fremont,Sullivan,1381,50.186,1.046,41.873711,-75.033526,3610527573,978976
French Creek,Chautauqua,906,36.259,0.02,42.041719,-79.711489,3601327606,978977
Friendship,Allegany,2004,36.215,0.013,42.214944,-78.130551,3600327705,978978
Fulton,Schoharie,1442,64.978,0.027,42.589134,-74.451470,3609527826,978980
Gaines,Orleans,3378,34.419,0.04,43.275759,-78.198050,3607327958,978981
Gainesville,Wyoming,2182,35.57,0.138,42.650692,-78.125147,3612127980,978982
Galen,Wayne,4290,59.477,0.581,43.065096,-76.880324,3611728013,978983
Gallatin,Columbia,1668,39.111,0.521,42.060607,-73.713148,3602128068,978984
Galway,Saratoga,3545,43.824,1.18,43.032192,-74.032079,3609128112,978985
Gardiner,Ulster,5713,43.435,0.51,41.691551,-74.188198,3611128255,978986
Gates,Monroe,28400,15.2,0.082,43.150766,-77.713533,3605528442,978987
Geddes,Onondaga,17118,9.156,3.104,43.076667,-76.224544,3606728519,978988
Genesee,Allegany,1693,36.239,0.048,42.045172,-78.248301,3600328563,978989
Genesee Falls,Wyoming,438,15.615,0.086,42.572554,-78.063441,3612128596,978990
Geneseo,Livingston,10483,43.944,1.198,42.806633,-77.779568,3605128629,978991
Geneva,Ontario,3291,19.091,0.007,42.833325,-77.005486,3606928651,978993
Genoa,Cayuga,1935,39.598,3.565,42.654397,-76.572265,3601128673,978994
Georgetown,Madison,974,40.078,0.099,42.786643,-75.743698,3605328695,978995
German,Chenango,370,28.408,0.031,42.503771,-75.824223,3601728739,978996
German Flatts,Herkimer,13258,33.695,0.499,42.987513,-74.983679,3604328750,978997
Germantown,Columbia,1954,12.103,1.819,42.136779,-73.870489,3602128772,978998
Gerry,Chautauqua,1905,36.125,0.018,42.218376,-79.240020,3601328838,978999
Ghent,Columbia,5402,45.132,0.268,42.314987,-73.649029,3602128871,979000
Gilboa,Schoharie,1307,57.8,1.576,42.431126,-74.454342,3609528981,979001
Glen,Montgomery,2507,38.62,0.706,42.900899,-74.351214,3605729047,979002
Glenville,Schenectady,29480,49.186,1.49,42.888252,-73.988700,3609329366,979005
Gorham,Ontario,4247,48.854,4.315,42.797135,-77.197164,3606929531,979007
Goshen,Orange,13687,43.642,0.29,41.381005,-74.352471,3607129553,979008
Gouverneur,St. Lawrence,7085,71.217,1.074,44.355092,-75.489810,3608929608,979009
Grafton,Rensselaer,2130,44.721,1.241,42.764501,-73.456397,3608329674,979010
Granby,Oswego,6821,44.713,1.73,43.289808,-76.441694,3607529729,979011
Grand Island,Erie,20374,28.273,5.02,43.017901,-78.962657,3602929828,979012
Granger,Allegany,538,31.938,0.1,42.479746,-78.011050,3600329905,979013
Granville,Washington,6669,55.618,0.5,43.422001,-73.306019,3611530037,979014
Great Valley,Cattaraugus,1974,49.635,0.036,42.200337,-78.637510,3600930257,979015
Greece,Monroe,96095,47.518,3.875,43.250347,-77.700518,3605530290,979016
Green Island,Albany,2620,0.747,0.186,42.747870,-73.692595,3600130532,979020
Greenburgh,Westchester,88400,30.309,5.805,41.029573,-73.842741,3611930367,979017
Greene,Chenango,5604,75.077,0.542,42.308164,-75.753974,3601730422,979018
Greenfield,Saratoga,7775,67.388,0.299,43.137999,-73.872299,3609130444,979019
Greenport,Columbia,4165,18.607,1.88,42.230076,-73.795559,3602130565,979021
Greenville,Greene,3739,38.788,0.296,42.397012,-74.014683,3603930620,979022
Greenville,Orange,4616,30.015,0.484,41.373315,-74.599045,3607130631,979023
Greenwich,Washington,4942,43.663,0.598,43.147517,-73.475886,3611530686,979024
Greenwood,Steuben,801,41.339,0.007,42.147107,-77.662020,3610130741,979025
Greig,Lewis,1199,93.011,1.354,43.697077,-75.194701,3604930796,979026
Groton,Tompkins,5950,49.406,0.133,42.583430,-76.359860,3610930972,979027
Grove,Allegany,548,33.366,0.335,42.479522,-77.893852,3600330994,979028
Groveland,Livingston,3249,39.129,0.725,42.709642,-77.768727,3605131016,979029
Guilderland,Albany,35303,57.902,0.885,42.706657,-73.962280,3600131104,979030
Guilford,Chenango,2922,61.716,0.244,42.402046,-75.450687,3601731148,979031
Hadley,Saratoga,2048,39.705,1.38,43.337476,-73.905955,3609131269,979032
Hague,Warren,699,63.76,15.859,43.690560,-73.549746,3611331335,979033
Halcott,Greene,258,23.041,0,42.220267,-74.476398,3603931379,979034
Halfmoon,Saratoga,21535,32.58,1.05,42.860715,-73.730728,3609131489,979035
Hamburg,Erie,56936,41.321,0.028,42.739160,-78.857134,3602931654,979036
Hamden,Delaware,1323,59.93,0.269,42.201381,-74.981064,3602531698,979037
Hamilton,Madison,6690,41.339,0.116,42.792526,-75.489362,3605331720,979038
Hamlin,Monroe,9045,43.468,1.122,43.322306,-77.919742,3605531797,979039
Hammond,St. Lawrence,1191,62.197,15.709,44.438757,-75.726453,3608931841,979040
Hampton,Washington,938,22.242,0.348,43.551067,-73.290832,3611531885,979041
Hamptonburgh,Orange,5561,26.758,0.211,41.449335,-74.244749,3607131907,979042
Hancock,Delaware,3224,158.822,2.994,41.956369,-75.182164,3602531951,979043
Hannibal,Oswego,4854,44.655,0.171,43.310917,-76.549843,3607532028,979044
Hanover,Chautauqua,7127,49.178,0.284,42.488023,-79.120703,3601332050,979045
Hardenburgh,Ulster,238,80.787,0.235,42.049037,-74.621147,3611132116,979046
Harford,Cortland,943,24.152,0.023,42.437149,-76.206229,3602332160,979047
Harmony,Chautauqua,2206,45.4,0.161,42.049553,-79.458099,3601332248,979048
Harpersfield,Delaware,1577,42.021,0.267,42.448423,-74.703743,3602532281,979049
Harrietstown,Franklin,5709,196.866,16.814,44.218046,-74.206563,3603332314,979050
Harrisburg,Lewis,437,39.882,0.028,43.836648,-75.665737,3604932358,979051
Harrison,Westchester,27472,16.766,0.603,41.026444,-73.723707,3611932413,979052
Hartford,Washington,2269,43.384,0.105,43.355737,-73.413156,3611532457,979053
Hartland,Niagara,4117,52.378,0.037,43.258139,-78.554677,3606332490,979054
Hartsville,Steuben,609,36.143,0.056,42.222372,-77.660191,3610132567,979055
Hartwick,Otsego,2110,40.082,0.342,42.643462,-75.016771,3607732589,979056
Hastings,Oswego,9450,45.645,0.352,43.320387,-76.156606,3607532688,979057
Haverstraw,Rockland,36634,22.155,5.26,41.202899,-74.039051,3608732765,979058
Hebron,Washington,1853,56.108,0.31,43.258464,-73.349096,3611533040,979059
Hector,Schuyler,4940,102.369,10.214,42.463533,-76.783953,3609733073,979060
Hempstead,Nassau,759757,118.587,73,40.633959,-73.609100,3605934000,979061
Henderson,Jefferson,1360,41.18,11.756,43.855211,-76.180197,3604534055,979062
Henrietta,Monroe,42581,35.351,0.296,43.054319,-77.640100,3605534099,979063
Herkimer,Herkimer,10175,31.662,0.566,43.061160,-75.000618,3604334132,979064
Hermon,St. Lawrence,1108,53.15,1.08,44.466944,-75.229167,3608934176,979065
Highland,Sullivan,2530,50.056,1.867,41.567366,-74.886519,3610534473,979066
Highlands,Orange,12492,30.41,3.06,41.369865,-74.005885,3607134550,979067
Hillsdale,Columbia,1927,47.724,0.164,42.229282,-73.521482,3602134748,979068
Hinsdale,Cattaraugus,2168,38.731,0.042,42.166750,-78.372348,3600934946,979069
Holland,Erie,3401,35.79,0.036,42.670462,-78.524234,3602935122,979070
Homer,Cortland,6405,50.195,0.461,42.662050,-76.170167,3602335287,979071
Hoosick,Rensselaer,6924,63.032,0.113,42.876802,-73.351525,3608335463,979072
Hope,Hamilton,403,40.703,0.933,43.323352,-74.234765,3604135496,979073
Hopewell,Ontario,3747,35.676,0.02,42.893493,-77.195885,3606935551,979074
Hopkinton,St. Lawrence,1077,185.34,1.704,44.536665,-74.661131,3608935595,979075
Horicon,Warren,1389,65.767,6.1,43.718094,-73.706078,3611335639,979076
Hornby,Steuben,1706,40.85,0.038,42.239541,-77.026669,3610135661,979077
Hornellsville,Steuben,4151,43.325,0.216,42.334445,-77.677087,3610135683,979079
Horseheads,Chemung,19485,35.606,0.314,42.157711,-76.778875,3601535705,979080
Hounsfield,Jefferson,3466,48.915,71.488,43.908879,-76.307152,3604535782,979081
Howard,Steuben,1467,60.546,0.22,42.338600,-77.514480,3610135837,979082
Hume,Allegany,2071,37.89,0.431,42.482162,-78.121765,3600336112,979084
Humphrey,Cattaraugus,687,37.136,0.017,42.231079,-78.497261,3600936123,979085
Hunter,Greene,2732,90.419,0.322,42.165514,-74.152362,3603936178,979086
Huntington,Suffolk,203264,94.123,42.988,40.884089,-73.376761,3610337000,979087
Hurley,Ulster,6314,29.911,6.056,41.958860,-74.122769,3611137143,979088
Huron,Wayne,2118,39.392,3.71,43.246559,-76.895091,3611737165,979089
Hyde Park,Dutchess,21571,36.663,3.195,41.813313,-73.895463,3602737209,979090
Independence,Allegany,1167,34.484,0.005,42.043602,-77.794465,3600337297,979091
Indian Lake,Hamilton,1352,251.8,14.439,43.806379,-74.417665,3604137374,979092
Inlet,Hamilton,333,62.195,4.176,43.721790,-74.714836,3604137495,979093
Ira,Cayuga,2206,34.795,0.103,43.209261,-76.530923,3601137660,979094
Irondequoit,Monroe,51692,15.001,1.833,43.209811,-77.572056,3605537726,979095
Ischua,Cattaraugus,859,32.377,0.021,42.237873,-78.384533,3600937825,979096
Islip,Suffolk,335543,104.114,58.891,40.712577,-73.195524,3610338000,979097
Italy,Yates,1141,40.14,0.122,42.618889,-77.312149,3612338044,979098
Ithaca,Tompkins,19930,28.946,1.34,42.413898,-76.540186,3610938088,979100
Jackson,Washington,1800,37.16,0.406,43.080457,-73.383276,3611538143,979101
Jasper,Steuben,1424,52.644,0.023,42.144268,-77.531889,3610138319,979103
Java,Wyoming,2057,47.128,0.202,42.651832,-78.386663,3612138341,979104
Jay,Essex,2506,67.688,0.421,44.377625,-73.696474,3603138396,979105
Jefferson,Schoharie,1410,43.251,0.163,42.489666,-74.607360,3609538440,979106
Jerusalem,Yates,4469,58.639,6.762,42.612928,-77.157943,3612338583,979107
Jewett,Greene,953,50.323,0.199,42.237830,-74.231016,3603938638,979108
Johnsburg,Warren,2395,203.976,2.768,43.657786,-74.065037,3611338715,979109
Johnstown,Fulton,7098,70.214,1.082,43.044322,-74.398332,3603538792,979111
Junius,Seneca,1471,26.709,0.145,42.971850,-76.908841,3609938858,979112
Keene,Essex,1105,155.941,0.676,44.122758,-73.883516,3603139067,979113
Kendall,Orleans,2724,32.857,0.061,43.329114,-78.051662,3607339188,979114
Kent,Putnam,13507,40.504,2.822,41.459239,-73.725148,3607939331,979740
Kiantone,Chautauqua,1350,18.397,0.14,42.027070,-79.193096,3601339507,979115
Kinderhook,Columbia,8498,31.806,0.607,42.411289,-73.682656,3602139573,979116
Kingsbury,Washington,12671,39.678,0.327,43.335201,-73.551426,3611539650,979117
Kingston,Ulster,889,7.702,0.048,41.978144,-74.038662,3611139738,979119
Kirkland,Oneida,10315,33.783,0.051,43.036731,-75.384504,3606539804,979120
Kirkwood,Broome,5857,30.795,0.397,42.091575,-75.799360,3600739837,979121
Knox,Albany,2692,41.762,0.174,42.685353,-74.105633,3600140002,979122
Kortright,Delaware,1675,62.451,0.182,42.402723,-74.781344,3602540068,979123
LaFayette,Onondaga,4952,39.233,0.413,42.907651,-76.103328,3606740266,979125
LaGrange (La Grange),Dutchess,15730,39.879,0.47,41.684927,-73.795750,3602740299,979126
Lake George,Warren,3515,30.069,2.549,43.435002,-73.720924,3611340519,979127
Lake Luzerne,Warren,3347,52.519,1.54,43.345954,-73.789719,3611340662,979128
Lake Pleasant,Hamilton,781,187.984,10,43.578905,-74.424033,3604140794,979129
Lancaster,Erie,41604,37.703,0.234,42.910914,-78.632214,3602941146,979130
Lansing,Tompkins,11033,60.49,9.452,42.566527,-76.531984,3610941234,979131
Lapeer,Cortland,767,25.039,0.143,42.455992,-76.112211,3602341300,979132
Laurens,Otsego,2424,42.049,0.119,42.535705,-75.118079,3607741531,979133
Lawrence,St. Lawrence,1826,47.61,0.058,44.745606,-74.676345,3608941564,979134
Le Ray,Jefferson,21782,73.643,0.361,44.078729,-75.795815,3604542015,979141
Le Roy,Genesee,7641,42.084,0.09,42.992655,-77.966199,3603742037,979142
Lebanon,Madison,1332,43.344,0.336,42.780128,-75.626215,3605341674,979135
Ledyard,Cayuga,1886,36.112,12.469,42.745344,-76.674047,3601141740,979136
Lee,Oneida,6486,45.106,0.447,43.325161,-75.518579,3606541762,979137
Leicester,Livingston,2200,33.929,0.004,42.760288,-77.904502,3605141883,979138
Lenox,Madison,9122,36.243,0.023,43.111571,-75.756992,3605341905,979139
Leon,Cattaraugus,1365,36.182,0.027,42.300481,-79.001361,3600941982,979140
Lewis,Essex,1382,84.79,0.21,44.318369,-73.581246,3603142114,979143
Lewis,Lewis,854,64.607,0.542,43.490911,-75.558906,3604942125,979144
Lewisboro,Westchester,12411,27.746,1.416,41.266160,-73.588251,3611942136,979145
Lewiston,Niagara,16262,37.121,4.01,43.184149,-78.951416,3606342158,979146
Lexington,Greene,805,79.686,0.037,42.209047,-74.333452,3603942202,979147
Leyden,Lewis,1785,33.33,0.222,43.534488,-75.382362,3604942213,979148
Liberty,Sullivan,9885,79.579,1.158,41.811822,-74.779789,3610542235,979149
Lima,Livingston,4305,31.891,0.053,42.895889,-77.608672,3605142334,979150
Lincklaen,Chenango,396,26.263,0.011,42.677344,-75.843763,3601742411,979151
Lincoln,Madison,2012,24.999,0.059,43.032236,-75.733805,3605342422,979152
Lindley,Steuben,1967,37.597,0.271,42.037857,-77.148523,3610142576,979153
Lisbon,St. Lawrence,4102,108.28,5.636,44.696518,-75.305716,3608942631,979154
Lisle,Broome,2751,46.894,0.09,42.379304,-76.055997,3600742653,979155
Litchfield,Herkimer,1513,29.992,0.061,42.967722,-75.163817,3604342664,979156
Little Falls,Herkimer,1587,22.34,0.163,43.018379,-74.894737,3604342752,979158
Little Valley,Cattaraugus,1740,29.787,0.006,42.224471,-78.759228,3600942840,979159
Livingston,Columbia,3646,38.163,0.784,42.138944,-73.797118,3602142917,979160
Livonia,Livingston,7809,38.262,2.812,42.809081,-77.653652,3605142961,979161
Lloyd,Ulster,10863,31.266,2.019,41.713907,-73.995071,3611142994,979162
Locke,Cayuga,1951,24.305,0.105,42.654563,-76.419295,3601143071,979163
Lockport,Niagara,20529,44.843,0.052,43.149249,-78.688845,3606343093,979165
Lodi,Seneca,1550,34.19,5.574,42.591920,-76.831428,3609943225,979166
Long Lake,Hamilton,711,407.033,42.804,43.959554,-74.649161,3604143412,979168
Lorraine,Jefferson,1037,38.979,0.018,43.746703,-75.978134,3604543544,979169
Louisville,St. Lawrence,3145,48.525,15.342,44.907722,-75.012207,3608943588,979170
Lowville,Lewis,4982,37.834,0.291,43.813957,-75.518200,3604943731,979171
Lumberland,Sullivan,2468,46.539,2.807,41.492424,-74.812220,3610543786,979172
Lyme,Jefferson,2185,55.813,51.178,44.024801,-76.228673,3604543863,979173
Lyndon,Cattaraugus,707,33.231,0.036,42.310646,-78.375278,3600943896,979174
Lyons,Wayne,5682,37.485,0.111,43.093076,-77.003860,3611743973,979175
Lyonsdale,Lewis,1227,68.743,1.362,43.589518,-75.242417,3604943995,979176
Lysander,Onondaga,21759,61.715,2.894,43.184174,-76.373925,3606744039,979177
Macedon,Wayne,9148,38.681,0.177,43.078887,-77.310520,3611744160,979179
Machias,Cattaraugus,2375,40.429,0.649,42.397788,-78.506904,3600944237,979180
Macomb,St. Lawrence,906,60.717,2.428,44.438707,-75.571306,3608944391,979181
Madison,Madison,3008,40.813,0.576,42.892391,-75.500514,3605344435,979182
Madrid,St. Lawrence,1735,52.984,0.598,44.770755,-75.128545,3608944490,979183
Maine,Broome,5377,45.643,0.117,42.196117,-76.016638,3600744611,979184
Malone,Franklin,14545,101.519,1.283,44.795395,-74.287115,3603344721,979185
Malta,Saratoga,14765,27.922,3.532,42.982275,-73.789043,3609144743,979186
Mamakating,Sullivan,12085,96.108,2.561,41.588001,-74.496288,3610544809,979187
Mamaroneck,Westchester,29156,6.654,7.41,40.921287,-73.744138,3611944842,979188
Manchester,Ontario,9395,37.818,0.032,42.987045,-77.194148,3606944864,979189
Manheim,Herkimer,3334,29.136,0.557,43.058519,-74.799676,3604344974,979191
Manlius,Onondaga,32370,49.218,0.735,43.052883,-75.980733,3606745029,979192
Mansfield,Cattaraugus,808,40.126,0.031,42.304609,-78.766918,3600945161,979193
Marathon,Cortland,1967,24.937,0.133,42.428479,-76.002973,3602345403,979194
Marbletown,Ulster,5607,54.471,0.709,41.873887,-74.164153,3611145458,979195
Marcellus,Onondaga,6210,32.445,0.14,42.942677,-76.323323,3606745491,979196
Marcy,Oneida,8982,32.89,0.428,43.172612,-75.267738,3606545535,979197
Marilla,Erie,5327,27.505,0.038,42.824491,-78.528331,3602945601,979198
Marion,Wayne,4746,29.147,0.103,43.166014,-77.191350,3611745645,979199
Marlborough,Ulster,8808,24.47,2.029,41.636294,-73.987100,3611145722,979200
Marshall,Oneida,2131,32.802,0,42.967126,-75.386204,3606545755,979201
Martinsburg,Lewis,1433,75.684,0.351,43.726107,-75.540138,3604945854,979202
Maryland,Otsego,1897,52.406,0.135,42.550963,-74.865957,3607745920,979203
Masonville,Delaware,1320,54.264,0.179,42.229093,-75.342442,3602545964,979204
Massena,St. Lawrence,12883,44.369,11.774,44.962020,-74.834650,3608946030,979205
Mayfield,Fulton,6495,58.385,6.299,43.124810,-74.262935,3603546217,979206
McDonough,Chenango,886,39.038,0.593,42.501710,-75.728039,3601744127,979178
Mendon,Monroe,9152,39.472,0.515,42.982472,-77.555620,3605546558,979208
Mentz,Cayuga,2378,16.922,0.26,43.040542,-76.633638,3601146602,979209
Meredith,Delaware,1529,58.102,0.214,42.365138,-74.938997,3602546624,979210
Mexico,Oswego,5197,46.272,0.717,43.455062,-76.204628,3607546822,979211
Middleburgh,Schoharie,3746,49.111,0.098,42.621269,-74.312498,3609546855,979212
Middlebury,Wyoming,1441,35.643,0.025,42.824030,-78.133264,3612146877,979213
Middlefield,Otsego,2114,63.334,0.371,42.697002,-74.855985,3607746910,979214
Middlesex,Yates,1495,30.875,3.229,42.718043,-77.289257,3612347020,979215
Middletown,Delaware,3750,96.674,0.62,42.160406,-74.628090,3602547031,979216
Milan,Dutchess,2370,36.109,0.468,41.978094,-73.783015,3602747207,979218
Milford,Otsego,3044,46.117,1.03,42.546091,-74.979126,3607747240,979219
Milo,Yates,7006,38.434,5.901,42.610474,-77.007902,3612347504,979220
Milton,Saratoga,18575,35.69,0.064,43.045801,-73.898137,3609147537,979221
Mina,Chautauqua,1106,35.817,0.511,42.124592,-79.699979,3601347592,979222
Minden,Montgomery,4297,50.988,0.449,42.931443,-74.696500,3605747614,979223
Minerva,Essex,809,156.766,3.508,43.855335,-74.118459,3603147669,979224
Minetto,Oswego,1659,5.762,0.279,43.398731,-76.481313,3607547691,979225
Minisink,Orange,4490,23.029,0.144,41.324048,-74.541192,3607147713,979226
Mohawk,Montgomery,3844,34.681,0.712,42.956072,-74.401834,3605747834,979227
Moira,Franklin,2934,45.228,0,44.829578,-74.558807,3603347933,979228
Monroe,Orange,39912,19.976,1.28,41.304162,-74.195149,3607147999,979229
Montague,Lewis,78,65.174,0.163,43.715389,-75.716896,3604948032,979230
Montezuma,Cayuga,1277,18.242,0.473,43.013839,-76.697713,3601148131,979231
Montgomery,Orange,22606,50.256,0.933,41.539832,-74.209619,3607148153,979232
Montour,Schuyler,2308,18.579,0.005,42.339941,-76.826462,3609748186,979233
Mooers,Clinton,3592,87.632,0.29,44.956357,-73.658432,3601948252,979234
Moravia,Cayuga,3626,28.884,0.753,42.734243,-76.412216,3601148307,979235
Moreau,Saratoga,14728,41.924,1.657,43.247423,-73.665699,3609148318,979236
Morehouse,Hamilton,86,191.064,3.705,43.447326,-74.694618,3604148340,979237
Moriah,Essex,4798,64.491,6.619,44.054967,-73.532619,3603148428,979238
Morris,Otsego,1878,39.067,0.126,42.542840,-75.264076,3607748494,979239
Morristown,St. Lawrence,1974,45.721,13.724,44.530931,-75.634507,3608948582,979240
Mount Hope,Orange,7018,25.134,0.362,41.457255,-74.526761,3607148857,979241
Mount Kisco,Westchester,10877,3.035,0.03,41.201696,-73.728258,3611948895,979242
Mount Morris,Livingston,4465,50.205,0.106,42.664871,-77.904533,3605148956,979243
Mount Pleasant,Westchester,43724,27.423,5.335,41.098212,-73.822328,3611949011,979244
Murray,Orleans,4988,31.059,0.04,43.258470,-78.057139,3607349286,979246
Nanticoke,Broome,1672,24.27,0.089,42.284937,-76.026586,3600749396,979247
Naples,Ontario,2502,39.685,0,42.624554,-77.432501,3606949440,979248
Napoli,Cattaraugus,1248,36.375,0.17,42.212802,-78.884569,3600949462,979249
Nassau,Rensselaer,4789,44.444,0.792,42.547941,-73.544568,3608349517,979250
Nelson,Madison,1980,43.06,0.996,42.885733,-75.745149,3605349770,979251
Neversink,Sullivan,3557,82.773,3.491,41.865968,-74.590457,3610549847,979252
New Albion,Cattaraugus,1972,35.629,0.194,42.306800,-78.889687,3600949880,979253
New Baltimore,Greene,3370,41.427,1.601,42.420048,-73.862587,3603949935,979255
New Berlin,Chenango,2682,46.134,0.44,42.592026,-75.386612,3601749957,979256
New Bremen,Lewis,2706,55.589,0.2,43.851984,-75.368301,3604950001,979257
New Castle,Westchester,17569,23.236,0.383,41.182534,-73.772847,3611950078,979260
New Hartford,Oneida,22166,25.357,0.118,43.057841,-75.281803,3606550309,979264
New Haven,Oswego,2856,31.099,2.315,43.471604,-76.317562,3607550342,979265
New Hudson,Allegany,781,36.195,0.124,42.285310,-78.253007,3600350375,979266
New Lebanon,Columbia,2305,35.857,0.116,42.470550,-73.444812,3602150452,979267
New Lisbon,Otsego,1114,44.355,0.301,42.624535,-75.133503,3607750485,979268
New Paltz,Ulster,14003,33.875,0.432,41.764040,-74.089495,3611150562,979269
New Scotland,Albany,8648,57.499,0.47,42.603490,-73.939215,3600150672,979272
New Windsor,Orange,25244,34.07,2.994,41.474548,-74.110922,3607150848,979274
Newark Valley,Tioga,3946,50.295,0.1,42.234926,-76.164054,3610749913,979254
Newburgh,Orange,29801,42.678,4.265,41.557401,-74.057242,3607150045,979259
Newcomb,Essex,436,226.271,6.898,44.007172,-74.099920,3603150144,979261
Newfane,Niagara,9666,51.823,1.657,43.290183,-78.692824,3606350232,979262
Newfield,Tompkins,5179,58.841,0.127,42.337140,-76.610245,3610950254,979263
